argc,arrays,bitfields,comma_operators,compound_assignment,consts,divs,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,float,math64,inline_function,muls,safe_math,packed_struct,paranoid,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables,builtins
0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.000499001996007984,0.035294117647058816,0.0,0.0,0.0,0.0,0.002,0.004784688995215311
0.0,0.0,0.012195121951219513,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.004,0.0
1.0,0.0,0.2195121951219512,0.20199999999999999,0.025,0.043478260869565216,0.027272727272727268,0.20833333333333331,0.1153846153846154,0.6,0.018000000000000002,0.09090909090909093,0.0,0.028999999999999998,0.0013020833333333333,0.0,0.0,1.0,1.0,0.0,0.024553571428571428,0.0,0.0,0.0,0.1130239520958084,0.3647058823529412,0.9,0.0,0.0,0.04222888555722139,0.01,1.0
0.0,0.00040704182354736943,0.0007867820613690008,0.000903225806451613,1.6129032258064517e-05,3.224194354435685e-05,0.0,0.00033602150537634406,0.0,0.0,6.451612903225807e-05,0.001466275659824047,0.0,0.0,0.0002835181451612903,0.0,0.0,0.000388651379712398,0.0009377344336084022,0.0006937218175511622,0.0,0.0,0.0,0.0,0.0004668083188461784,0.0030360531309297912,0.0,0.020833333333333332,0.0625,2.4181457658267634e-05,0.0007096774193548389,0.005093378607809845
0.0,0.0012618296529968453,0.0,0.00048000000000000007,0.0002,9.995002498750622e-05,0.0,0.0020833333333333333,0.0,0.0,0.0001,0.0,0.0,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0021505376344086026,0.0,0.0,0.0,0.0,0.00039920159680638726,0.002352941176470588,0.0,0.04166666666666666,0.0625,9.995002498750622e-05,0.001,0.0
0.0,0.0015772870662460565,0.0,0.0006000000000000001,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.00025,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062375249500998,0.0,0.0,0.04166666666666666,0.0625,0.0,0.0045000000000000005,0.0023923444976076554
0.0,0.0,0.06097560975609756,0.0016,0.0,0.00024987506246876555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000249500998003992,0.011764705882352941,0.0,0.02083333333333333,0.0625,0.0,0.001,0.0
0.0,0.0,0.06097560975609756,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000249500998003992,0.011764705882352941,0.0,0.02083333333333333,0.0625,0.0,0.0,0.0
0.0,0.0031545741324921135,0.0,0.006933333333333333,0.0006666666666666666,0.00016658337497917704,0.0,0.0,0.0,0.0,0.0005,0.022727272727272724,0.0,0.0013333333333333333,0.0,0.0,0.0,0.0,0.0,0.014336917562724016,0.002232142857142857,0.0,0.0,0.0,0.002744510978043912,0.054901960784313725,0.0,0.02083333333333333,0.0625,0.00016658337497917704,0.0016666666666666668,0.014354066985645933
0.0,0.0007614489285325792,0.0,0.003531034482758621,5.172413793103448e-05,0.0001120129590377225,0.0009404388714733542,0.003232758620689655,0.0026525198938992045,0.0,0.0001206896551724138,0.0007836990595611285,0.0,6.896551724137931e-05,8.979885057471264e-05,0.0,0.0,0.0014540922309929374,0.002906976744186047,0.0007415647015202078,0.0005387931034482757,0.0,0.0,0.0,0.0002925184114529561,0.0016227180527383367,0.0,0.04956896551724139,0.0,7.754743317996173e-05,0.0022758620689655173,0.0051146675466094685
