c-files	sizeInCharsC	sizeInCharsAST	comma-operators	main	main-argc	bitfields	max-array-dim	max-array-len-per-dim	arrays	pointers	structs	unions	packed-struct	divs	muls	pre-incr-operator	pre-decr-operator	post-incr-operator	post-decr-operator	unary-plus-operator	funcs	longlong	float	jump	volatiles	compound-assignment	consts	inline-function	volatile-pointers	const-pointers	global-variables	builtin-func	int8_t	uint8_t	int16_t	uint16_t	int32_t	uint32_t	int64_t	uint64_t
pr63800.c	133	827	3	0	0	0	1	2	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0
pr56098-1.c	44	314	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
pr29521-2.c	71	500	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr81003.c	55	409	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr37985.c	45	212	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr83089.c	152	791	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr67265-2.c	49	323	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr71908.c	154	919	0	1	0	0	1	0	0	4	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0
pr18628.c	86	324	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr42544.c	148	658	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr68730.c	463	2103	6	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	14	0	0	0	0	4	3	0	0	0	0	0	0	0	0
pr51244-4.c	112	781	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr82837.c	248	1104	5	0	0	0	1	100	1	4	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0
pr60071.c	126	692	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr48975.c	89	522	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr48136.c	39	273	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr15698-2.c	36	351	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pragma-pack-5.c	63	293	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr61296-1.c	194	1375	0	0	0	0	1	8	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
pred-1.c	83	491	0	1	0	0	1	100	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0
pr64652.c	136	761	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr69188_1.c	45	263	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr64617.c	456	2771	17	0	0	0	1	0	1	0	0	0	0	0	10	0	0	2	0	0	1	0	0	0	0	20	0	0	0	0	10	0	0	0	0	0	0	0	0	0
pr37616.c	241	1049	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0
pr32219-9.c	27	155	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr84564.c	121	857	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0
pr20621-1.c	151	856	3	0	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr44784.c	871	2832	2	0	0	1	1	1	2	6	8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0
pr46066.c	180	958	2	0	0	0	3	400	3	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr68474.c	79	303	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr78162.c	51	393	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr22051-1.c	77	456	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
pr82388.c	108	622	2	1	0	0	1	30	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr36978.c	109	456	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
pr71947-9.c	60	351	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr68431.c	96	492	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
pr29250.c	448	1448	2	0	0	0	1	0	0	3	4	0	0	0	0	0	0	2	0	0	1	1	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0
pr50823.c	428	2023	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	0	0	0	0	12	3	0	0	0	0	0	0	0	0
pr71636-1.c	52	284	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr48466.c	332	1744	5	1	0	0	1	10	1	4	12	0	0	0	0	0	0	1	0	0	3	0	0	2	1	8	2	0	0	2	5	0	0	0	0	0	0	0	0	0
pr34030.c	96	474	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr37303.c	44	274	2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0
pr40457-1.c	38	283	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr49880-5.c	85	477	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr43438.c	231	1097	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	5	1	0	0	0	0	0	0	0	0
pr68529-2.c	148	678	0	0	0	0	1	10000	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr48053-2.c	223	1053	1	0	0	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	4	1	0	0	0	0	0	0	0	0
pr43781.c	371	1682	4	0	0	0	5	7	6	4	6	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	2	0	0	2	5	0	0	2	0	0	2	0	0	0
pr82659-4.c	49	334	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr66759.c	53	384	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
pr66232-12.c	45	311	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr40026.c	125	642	2	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr78477.c	261	1241	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr50749-sf-postinc-4.c	89	461	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr37248-3.c	216	1085	0	0	0	9	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
pr48722.c	78	527	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
pr24627.c	930	3175	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	2	1	0	2	0	0	1	0	17	0	0	0	0	5	1	0	0	0	0	0	0	0	0
pr21041.c	456	2108	5	0	0	0	2	8	2	7	2	0	0	0	0	0	0	5	0	0	1	0	0	2	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr70336.c	355	1842	6	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr26180.c	293	1755	8	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	12	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr12899.c	62	258	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr66375.c	104	578	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0
pr20490.c	104	590	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
